,Name,BURDEN_RESCALED_AV_PCT,BURDEN_RESCALED_MAX_PCT,MAX_POLL_RAW,MEAN_POLL_RAW,OGBURDEN_AV,OGBURDEN_MAX
32,Estien Home,65.85365854,49.59349593,49.5336294,41.01319168,66.66666667,61.78861789
33,Fahrer Home,38.21138211,42.27642276,30.92653848,27.31647855,21.13821138,7.317073171
34,Foothill Lot,18.69918699,39.83739837,35.36863185,33.45657095,40.6504065,27.64227642
35,Fortmann Home,43.90243902,36.58536585,35.33385722,31.6896452,34.14634146,26.01626016
36,Frey Home,49.59349593,65.04065041,62.31199359,45.39014777,73.17073171,99.18699187
37,Fuller Home,21.95121951,48.7804878,35.31514288,25.41496357,16.2601626,25.20325203
38,Getz Home,20.32520325,21.95121951,37.23613114,30.71184917,30.08130081,33.33333333
39,Gunther-Murphy Home,31.70731707,46.34146341,40.13721943,34.70553882,47.15447154,43.90243902
40,Hamilton Home,0,0,20.33424694,20.08911244,1.62601626,0
41,Harley Home,48.7804878,27.64227642,36.63747821,32.74203374,36.58536585,31.70731707
42,Herman Home,63.41463415,57.72357724,49.5336294,40.41692514,65.04065041,61.78861789
43,Hilltop Lake Park,70.73170732,83.7398374,51.87585032,38.38672356,60.16260163,65.85365854
44,Hirooka Home,15.44715447,13.82113821,30.58372507,25.52581661,17.07317073,4.87804878
45,Hoover Home,27.64227642,28.45528455,44.1290947,30.96189056,30.89430894,52.03252033
