Date,daily_visits,Name
7/7/23,4596,Ahern.Home
7/8/23,3125,Ahern.Home
7/9/23,4122,Ahern.Home
7/10/23,4036,Ahern.Home
7/11/23,4334,Ahern.Home
7/12/23,3956,Ahern.Home
7/13/23,3864,Ahern.Home
7/14/23,4121,Ahern.Home
7/15/23,4572,Ahern.Home
7/16/23,4003,Ahern.Home
7/17/23,4563,Ahern.Home
7/18/23,4118,Ahern.Home
7/19/23,4614,Ahern.Home
7/20/23,4400,Ahern.Home
7/21/23,5032,Ahern.Home
7/22/23,4272,Ahern.Home
7/23/23,3366,Ahern.Home
7/24/23,3403,Ahern.Home
7/25/23,3782,Ahern.Home
7/26/23,3679,Ahern.Home
7/27/23,3844,Ahern.Home
7/28/23,4447,Ahern.Home
7/29/23,4209,Ahern.Home
7/30/23,3732,Ahern.Home
7/31/23,4231,Ahern.Home
8/1/23,3435,Ahern.Home
8/2/23,5273,Ahern.Home
8/3/23,4271,Ahern.Home
8/4/23,4574,Ahern.Home
8/5/23,4479,Ahern.Home
8/6/23,4348,Ahern.Home
8/7/23,4990,Ahern.Home
8/8/23,4612,Ahern.Home
8/9/23,6331,Ahern.Home
8/10/23,3553,Ahern.Home
8/11/23,4762,Ahern.Home
8/12/23,3570,Ahern.Home
8/13/23,3111,Ahern.Home
8/14/23,5068,Ahern.Home
8/15/23,5153,Ahern.Home
8/16/23,4888,Ahern.Home
8/17/23,4101,Ahern.Home
8/18/23,5113,Ahern.Home
8/19/23,3909,Ahern.Home
8/20/23,3427,Ahern.Home
8/21/23,3972,Ahern.Home
8/22/23,4112,Ahern.Home
8/23/23,4746,Ahern.Home
8/24/23,4022,Ahern.Home
8/25/23,5209,Ahern.Home
8/26/23,3655,Ahern.Home
8/27/23,3190,Ahern.Home
8/28/23,4343,Ahern.Home
8/29/23,4769,Ahern.Home
8/30/23,4512,Ahern.Home
8/31/23,3321,Ahern.Home
9/1/23,4508,Ahern.Home
9/2/23,3347,Ahern.Home
9/3/23,2661,Ahern.Home
9/4/23,2940,Ahern.Home
9/5/23,3624,Ahern.Home
9/6/23,4237,Ahern.Home
9/7/23,3883,Ahern.Home
9/8/23,4372,Ahern.Home
9/9/23,3722,Ahern.Home
9/10/23,3031,Ahern.Home
9/11/23,3932,Ahern.Home
9/12/23,3557,Ahern.Home
9/13/23,3577,Ahern.Home
9/14/23,3940,Ahern.Home
9/15/23,4872,Ahern.Home
9/16/23,3603,Ahern.Home
9/17/23,2415,Ahern.Home
9/18/23,4050,Ahern.Home
9/19/23,3584,Ahern.Home
9/20/23,3975,Ahern.Home
9/21/23,3885,Ahern.Home
9/22/23,5074,Ahern.Home
9/23/23,3018,Ahern.Home
9/24/23,2954,Ahern.Home
9/25/23,4370,Ahern.Home
9/26/23,3532,Ahern.Home
9/27/23,4935,Ahern.Home
9/28/23,3991,Ahern.Home
9/29/23,4090,Ahern.Home
9/30/23,2974,Ahern.Home
10/1/23,3054,Ahern.Home
10/2/23,4574,Ahern.Home
10/3/23,4015,Ahern.Home
10/4/23,5049,Ahern.Home
10/5/23,3359,Ahern.Home
10/6/23,4209,Ahern.Home
10/7/23,2212,Ahern.Home
10/8/23,2812,Ahern.Home
10/9/23,3241,Ahern.Home
10/10/23,4594,Ahern.Home
10/11/23,4163,Ahern.Home
10/12/23,3825,Ahern.Home
10/13/23,3776,Ahern.Home
10/14/23,3493,Ahern.Home
10/15/23,2297,Ahern.Home
10/16/23,4003,Ahern.Home
10/17/23,3214,Ahern.Home
10/18/23,3899,Ahern.Home
10/19/23,3617,Ahern.Home
10/20/23,5055,Ahern.Home
10/21/23,4021,Ahern.Home
10/22/23,3149,Ahern.Home
10/23/23,3603,Ahern.Home
10/24/23,3634,Ahern.Home
10/25/23,4190,Ahern.Home
10/26/23,3925,Ahern.Home
10/27/23,4035,Ahern.Home
10/28/23,2884,Ahern.Home
10/29/23,2603,Ahern.Home
10/30/23,3165,Ahern.Home
10/31/23,5014,Ahern.Home
11/1/23,3423,Ahern.Home
11/2/23,2889,Ahern.Home
11/3/23,4546,Ahern.Home
11/4/23,3022,Ahern.Home
11/5/23,1838,Ahern.Home
11/6/23,2617,Ahern.Home
11/7/23,3163,Ahern.Home
11/8/23,3357,Ahern.Home
11/9/23,3000,Ahern.Home
11/10/23,2278,Ahern.Home
11/11/23,3513,Ahern.Home
