"","Name","UWIN.Code","Start.Date","End.Date","Num.Days","Notes","states_abbrev","mean_income","mean_age","mean_percent_white","mean_pop_density","mean_housing_density","mean_daily_visits","median_daily_visits","mean_weekday_visits","mean_weekend_visits","restaurant_count","total_road_length","road_density","road_area","distance_to_road","imp_surf","ndvi","elev","nightlight_avg","nldc_landcover","bio_1","bio_12","human_mod","NatWalkInd","Ac_Total","Ac_Land","Ac_Water","Workers","dist2nearest_camera","buffer_size","X","BURDEN_RESCALED_AV_PCT","BURDEN_RESCALED_MAX_PCT","MAX_POLL_RAW","MEAN_POLL_RAW","OGBURDEN_AV","OGBURDEN_MAX","geometry"
"31","Andrews Home",NA,"01/25/2023","02/11/2023",17,"","CA",158740.75,45.3375,60.2424154622835,3716.30988745491,1701.83794770549,9038.16666666667,8973.5,9255.69230769231,8472.6,22,12732.0688932126,0.0162183831884259,785039.343644235,238.871384582017,50.7352941176472,0.167483822313406,77.1458910508917,3.22915944210997,"Urban and Built-up",14.1499996185303,108.8,0.920411318540573,14.1666666666667,64.7033821,64.7033821,0,690,409.360657627075,500,5,54.47154472,36.58536585,35.33385722,32.95785471,37.39837398,26.01626016,c(-122.221358, 37.808965)
"32","Bataclan Home",NA,"01/24/2023","02/11/2023",18,"Therese Home","CA",95118.6363636364,38.0818181818182,51.6283092413638,6036.07375924209,3608.71626806192,47398.4736842105,48167,49770.2142857143,40757.6,35,16284.1116808006,0.020743051686053,785039.343644388,389.11774412804,75.1451068616423,0.0960207927430642,30.7749669734554,3.89393270541129,"Urban and Built-up",14.25,108.9,0.934111475944519,17.3333333333333,46.7960451,46.7960451,0,401,604.576371297946,500,6,72.35772358,74.79674797,54.72614651,41.42096796,68.29268293,71.54471545,c(-122.257263, 37.828543)
"33","Bataclan Home",NA,"01/24/2023","02/11/2023",18,"Therese Home","CA",95118.6363636364,38.0818181818182,51.6283092413638,6036.07375924209,3608.71626806192,47398.4736842105,48167,49770.2142857143,40757.6,35,16284.1116808006,0.020743051686053,785039.343644388,389.11774412804,75.1451068616423,0.0960207927430642,30.7749669734554,3.89393270541129,"Urban and Built-up",14.25,108.9,0.934111475944519,15.5,81.3818908,81.3818908,0,727,604.576371297946,500,6,72.35772358,74.79674797,54.72614651,41.42096796,68.29268293,71.54471545,c(-122.257263, 37.828543)
"34","Bataclan Home",NA,"01/24/2023","02/11/2023",18,"Therese Home","CA",95118.6363636364,38.0818181818182,51.6283092413638,6036.07375924209,3608.71626806192,47398.4736842105,48167,49770.2142857143,40757.6,35,16284.1116808006,0.020743051686053,785039.343644388,389.11774412804,75.1451068616423,0.0960207927430642,30.7749669734554,3.89393270541129,"Urban and Built-up",14.25,108.9,0.934111475944519,18,35.8040487,35.8040487,0,482,604.576371297946,500,6,72.35772358,74.79674797,54.72614651,41.42096796,68.29268293,71.54471545,c(-122.257263, 37.828543)
"35","Bataclan Home",NA,"01/24/2023","02/11/2023",18,"Therese Home","CA",95118.6363636364,38.0818181818182,51.6283092413638,6036.07375924209,3608.71626806192,47398.4736842105,48167,49770.2142857143,40757.6,35,16284.1116808006,0.020743051686053,785039.343644388,389.11774412804,75.1451068616423,0.0960207927430642,30.7749669734554,3.89393270541129,"Urban and Built-up",14.25,108.9,0.934111475944519,13.1666666666667,58.4077683,58.4077683,0,772,604.576371297946,500,6,72.35772358,74.79674797,54.72614651,41.42096796,68.29268293,71.54471545,c(-122.257263, 37.828543)
"36","Bataclan Home",NA,"01/24/2023","02/11/2023",18,"Therese Home","CA",95118.6363636364,38.0818181818182,51.6283092413638,6036.07375924209,3608.71626806192,47398.4736842105,48167,49770.2142857143,40757.6,35,16284.1116808006,0.020743051686053,785039.343644388,389.11774412804,75.1451068616423,0.0960207927430642,30.7749669734554,3.89393270541129,"Urban and Built-up",14.25,108.9,0.934111475944519,17,65.4874304,65.4874304,0,1163,604.576371297946,500,6,72.35772358,74.79674797,54.72614651,41.42096796,68.29268293,71.54471545,c(-122.257263, 37.828543)
"37","Bataclan Home",NA,"01/24/2023","02/11/2023",18,"Therese Home","CA",95118.6363636364,38.0818181818182,51.6283092413638,6036.07375924209,3608.71626806192,47398.4736842105,48167,49770.2142857143,40757.6,35,16284.1116808006,0.020743051686053,785039.343644388,389.11774412804,75.1451068616423,0.0960207927430642,30.7749669734554,3.89393270541129,"Urban and Built-up",14.25,108.9,0.934111475944519,18,41.6961482,41.6961482,0,406,604.576371297946,500,6,72.35772358,74.79674797,54.72614651,41.42096796,68.29268293,71.54471545,c(-122.257263, 37.828543)
"38","Bataclan Home",NA,"01/24/2023","02/11/2023",18,"Therese Home","CA",95118.6363636364,38.0818181818182,51.6283092413638,6036.07375924209,3608.71626806192,47398.4736842105,48167,49770.2142857143,40757.6,35,16284.1116808006,0.020743051686053,785039.343644388,389.11774412804,75.1451068616423,0.0960207927430642,30.7749669734554,3.89393270541129,"Urban and Built-up",14.25,108.9,0.934111475944519,16.1666666666667,50.9814249,50.9814249,0,602,604.576371297946,500,6,72.35772358,74.79674797,54.72614651,41.42096796,68.29268293,71.54471545,c(-122.257263, 37.828543)
"39","Bataclan Home",NA,"01/24/2023","02/11/2023",18,"Therese Home","CA",95118.6363636364,38.0818181818182,51.6283092413638,6036.07375924209,3608.71626806192,47398.4736842105,48167,49770.2142857143,40757.6,35,16284.1116808006,0.020743051686053,785039.343644388,389.11774412804,75.1451068616423,0.0960207927430642,30.7749669734554,3.89393270541129,"Urban and Built-up",14.25,108.9,0.934111475944519,17,29.0325203,29.0325203,0,389,604.576371297946,500,6,72.35772358,74.79674797,54.72614651,41.42096796,68.29268293,71.54471545,c(-122.257263, 37.828543)
"40","Bataclan Home",NA,"01/24/2023","02/11/2023",18,"Therese Home","CA",95118.6363636364,38.0818181818182,51.6283092413638,6036.07375924209,3608.71626806192,47398.4736842105,48167,49770.2142857143,40757.6,35,16284.1116808006,0.020743051686053,785039.343644388,389.11774412804,75.1451068616423,0.0960207927430642,30.7749669734554,3.89393270541129,"Urban and Built-up",14.25,108.9,0.934111475944519,17.6666666666667,20.4638336,20.4638336,0,553,604.576371297946,500,6,72.35772358,74.79674797,54.72614651,41.42096796,68.29268293,71.54471545,c(-122.257263, 37.828543)
