"","Date","daily_visits","Name"
"342",2022-12-08,2628,"Ahern Home"
"343",2022-12-09,3127,"Ahern Home"
"344",2022-12-10,2553,"Ahern Home"
"345",2022-12-11,2098,"Ahern Home"
"346",2022-12-12,3188,"Ahern Home"
"347",2022-12-13,3617,"Ahern Home"
"348",2022-12-14,3823,"Ahern Home"
"349",2022-12-15,3429,"Ahern Home"
"350",2022-12-16,4768,"Ahern Home"
"351",2022-12-17,2481,"Ahern Home"
"352",2022-12-18,2817,"Ahern Home"
"353",2022-12-19,3142,"Ahern Home"
"354",2022-12-20,3863,"Ahern Home"
"355",2022-12-21,3522,"Ahern Home"
"356",2022-12-22,3002,"Ahern Home"
"357",2022-12-23,3781,"Ahern Home"
"358",2022-12-24,3525,"Ahern Home"
"359",2022-12-25,3978,"Ahern Home"
"360",2022-12-26,2972,"Ahern Home"
"361",2022-12-27,2700,"Ahern Home"
"362",2022-12-28,3397,"Ahern Home"
"363",2022-12-29,3123,"Ahern Home"
"364",2022-12-30,3138,"Ahern Home"
"365",2022-12-31,3210,"Ahern Home"
"366",2023-01-01,3686,"Ahern Home"
"367",2023-01-02,3304,"Ahern Home"
"368",2023-01-03,3724,"Ahern Home"
"369",2023-01-04,3440,"Ahern Home"
"370",2023-01-05,2360,"Ahern Home"
"371",2023-01-06,3968,"Ahern Home"
"372",2023-01-07,3602,"Ahern Home"
"373",2023-01-08,3072,"Ahern Home"
"374",2023-01-09,3308,"Ahern Home"
"375",2023-01-10,2690,"Ahern Home"
"376",2023-01-11,2230,"Ahern Home"
"377",2023-01-12,2907,"Ahern Home"
"378",2023-01-13,3814,"Ahern Home"
"379",2023-01-14,1762,"Ahern Home"
"380",2023-01-15,2787,"Ahern Home"
"381",2023-01-16,2826,"Ahern Home"
"382",2023-01-17,4191,"Ahern Home"
"383",2023-01-18,2786,"Ahern Home"
"384",2023-01-19,3468,"Ahern Home"
"385",2023-01-20,4171,"Ahern Home"
"386",2023-01-21,3909,"Ahern Home"
"387",2023-01-22,2217,"Ahern Home"
"388",2023-01-23,3543,"Ahern Home"
"389",2023-01-24,3499,"Ahern Home"
"390",2023-01-25,3326,"Ahern Home"
"391",2023-01-26,2937,"Ahern Home"
"392",2023-01-27,4319,"Ahern Home"
"393",2023-01-28,2949,"Ahern Home"
"394",2023-01-29,2776,"Ahern Home"
"395",2023-01-30,3307,"Ahern Home"
"396",2023-01-31,3857,"Ahern Home"
"397",2023-02-01,3553,"Ahern Home"
"398",2023-02-02,3268,"Ahern Home"
"399",2023-02-03,3589,"Ahern Home"
"400",2023-02-04,3189,"Ahern Home"
"401",2023-02-05,2569,"Ahern Home"
"402",2023-02-06,3023,"Ahern Home"
"403",2023-02-07,3932,"Ahern Home"
"404",2023-02-08,3443,"Ahern Home"
"405",2023-02-09,3370,"Ahern Home"
"406",2023-02-10,3879,"Ahern Home"
"407",2023-02-11,3615,"Ahern Home"
"408",2023-02-12,3292,"Ahern Home"
"409",2023-02-13,3905,"Ahern Home"
"410",2023-02-14,2957,"Ahern Home"
"411",2023-02-15,3724,"Ahern Home"
"412",2023-02-16,2686,"Ahern Home"
"413",2023-02-17,3066,"Ahern Home"
"414",2023-02-18,2535,"Ahern Home"
"415",2023-02-19,2147,"Ahern Home"
"416",2023-02-20,2378,"Ahern Home"
"417",2023-02-21,3452,"Ahern Home"
"418",2023-02-22,2882,"Ahern Home"
"419",2023-02-23,2674,"Ahern Home"
"420",2023-02-24,3178,"Ahern Home"
"421",2023-02-25,2600,"Ahern Home"
"422",2023-02-26,2348,"Ahern Home"
"423",2023-02-27,2438,"Ahern Home"
"424",2023-02-28,3717,"Ahern Home"
"425",2023-03-01,3192,"Ahern Home"
"426",2023-03-02,3452,"Ahern Home"
"427",2023-03-03,3373,"Ahern Home"
"428",2023-03-04,2558,"Ahern Home"
"429",2023-03-05,2599,"Ahern Home"
"430",2023-03-06,2437,"Ahern Home"
"431",2023-03-07,4144,"Ahern Home"
"432",2023-03-08,2819,"Ahern Home"
"433",2023-03-09,2845,"Ahern Home"
"434",2023-03-10,3641,"Ahern Home"
"435",2023-03-11,2221,"Ahern Home"
"436",2023-03-12,1808,"Ahern Home"
"437",2023-03-13,3089,"Ahern Home"
"438",2023-03-14,2773,"Ahern Home"
"439",2023-03-15,3727,"Ahern Home"
"440",2023-03-16,3668,"Ahern Home"
"441",2023-03-17,3866,"Ahern Home"
"442",2023-03-18,2701,"Ahern Home"
"443",2023-03-19,2213,"Ahern Home"
"444",2023-03-20,2971,"Ahern Home"
"445",2023-03-21,2867,"Ahern Home"
"446",2023-03-22,4193,"Ahern Home"
"447",2023-03-23,4005,"Ahern Home"
"448",2023-03-24,4993,"Ahern Home"
"449",2023-03-25,3886,"Ahern Home"
"450",2023-03-26,2691,"Ahern Home"
"451",2023-03-27,4047,"Ahern Home"
"452",2023-03-28,4111,"Ahern Home"
"453",2023-03-29,3786,"Ahern Home"
"454",2023-03-30,3512,"Ahern Home"
"455",2023-03-31,2776,"Ahern Home"
"456",2023-04-01,3032,"Ahern Home"
"457",2023-04-02,1721,"Ahern Home"
"458",2023-04-03,2650,"Ahern Home"
"459",2023-04-04,3179,"Ahern Home"
"460",2023-04-05,2964,"Ahern Home"
"461",2023-04-06,1913,"Ahern Home"
"462",2023-04-07,2506,"Ahern Home"
"463",2023-04-08,2587,"Ahern Home"
"464",2023-04-09,3341,"Ahern Home"
"465",2023-04-10,3788,"Ahern Home"
"466",2023-04-11,3015,"Ahern Home"
"467",2023-04-12,3817,"Ahern Home"
"468",2023-04-13,3465,"Ahern Home"
"469",2023-04-14,3438,"Ahern Home"
"470",2023-04-15,3090,"Ahern Home"
